职位,公司,薪资,公司福利,招聘信息,职位信息,职能类别,公司地址
Python爬虫工程师,广东全彩科技有限公司,0.7-1.2万/月,餐饮补贴绩效奖金年终奖金员工旅游定期体检交通补贴周末双休地铁周边六险一金,广州-天河区|3-4年经验|大专|招1人|03-13发布,"1.负责数据中心的数据采集与爬取、解析处理、入库及备份等数据日常工作；2.负责数据的清洗、整理、整合及合并等工作；4.参与需求分析及设计文档、代码的编写；5.根据工作安排，能按时按质完成需求。[职位要求]1、计算机科学与技术、软件工程等相关专业；2、熟悉linux平台，有一年以上Python编程经验，熟悉前端开发的相关领域知识；3、熟悉Scrapy,XPath、正则表达式原理等；4、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力；5、理解Web等数据抓取的工作原理及流程，有实际数据抓取经验；6、熟练使用Mysql/MongoDB/Redis等数据库或队列。[优先条件]1.设计过除Scrapy框架以外的爬虫架构；1.对反爬虫技术有一定的理解，知道如何解决问题；2.有多线程/多进程相关的开发经验；3.有除了写代码之外的其他兴趣爱好；4.发布过开源库，或者贡献过开源代码；5.良好的英文阅读能力。珠江新城保利克洛维大厦一期17楼1710室广东全彩科技有限公司民营公司50-150人",大数据开发/分析数据库工程师/管理员爬虫Python数据抓取采集清洗,珠江新城保利克洛维大厦一期17楼1710室
Python开发工程师,广州拼吧信息科技有限公司,0.8-1.2万/月,五险一金年终奖金股票期权弹性工作,广州-天河区|2年经验|大专|招若干人|03-13发布,1、负责微服务应用开发框架研究、开发、重构工作。要求如下:1、精通Python、Java2、熟悉常见Pythonweb架构，精通Django、Tornado者优先；3、具备数据库设计能力，熟练掌握MySql/MongoDB/Redis者优先；4、熟悉Linux操作系统，熟悉Nginx、uWSGI，能独立搭建高可用生产环境；5、有大型网络服务开发经验，在高并发，高稳定性方面有经验者优先；6、具备良好的编码习惯及开发文档书写习惯；7、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享；8、了解或熟悉HTML、CSS、Javascript等前端技术优先广州市天河区翰景路1号金星大厦5楼F-12广州拼吧信息科技有限公司民营公司少于50人,软件工程师PythonJavaCSS,广州市天河区翰景路1号金星大厦5楼F-12
Python线下讲师,易第优（北京）教育咨询股份有限公司广州分公司,0.8-1万/月,周末双休交通补贴餐饮补贴节日福利五险一金专业培训员工旅游,广州-天河区|2年经验|大专|招若干人|03-13发布,岗位职责：1.负责OTO班级日常教学活动和管理2.负责月考实施与教学效果评估3.负责持续提升班级学员满意度4.负责毕业班学员就业支持工作5.负责协助市场渠道部门的工作任职要求：1.1年同岗位工作经验；2.具备计算机软件开发技术相关专业知识；3．熟悉Python相应班级课程技术方向；4.具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力；5.具有优秀的团队领导能力，计划执行能力、责任心、事业心。薪酬福利：1、五险一金：入职即购买社保，转正购买公积金；2、上班时间：8:30--17:30周末双休3、餐饮补贴+交通补贴4、法定假日+节日礼物+员工旅游广州市天河区高唐路237号时代E-park02栋5楼整层易第优（北京）教育咨询股份有限公司广州分公司上市公司500-1000人,软件工程师培训讲师Python讲师老师,广州市天河区高唐路237号时代 E-park 02栋5楼整层
python工程师(人工智能方向）,广州云趣信息科技有限公司,1-2万/月,五险一金周末双休员工旅游餐饮补贴年终奖金弹性工作定期体检节日福利,广州-天河区|3-4年经验|本科|招1人|03-13发布,1、进行数据格式化和预处理，通过脚本实现数据抽取、转换、清洗、格式化、装载等功能；2、基于开源的机器学习、深度学习算法进行算法二次开发和调测；3、能够根据客户需求，进行需求分析，完成软件架构设计、接口设计、详细设计以及相应的开发及测试任务；4、根据项目需求进行后台服务器脚本的开发与维护；5、研究人工智能新兴技术，对产品进行持续优化。1、3年以上Python编程经验，掌握网络操作、文件操作、图像处理、文本数据处理者优先；2、熟悉数据科学和机器学习框架（TensorFlow，Scikit-learn，ApacheSpark/MLlib等）3、掌握Linux系统使用，能够在Linux环境下工作；4、熟悉Mysql数据库开发，有丰富的数据库查询和调优经验;5、熟悉常见的数据结构和算法，熟悉Web系统全栈开发流程；6、良好的编程习惯和英文文档阅读能力；7、责任感强烈，良好的学习能力，良好的团队合作精神。天河软件园建工路4号佳都新太大厦6楼广州云趣信息科技有限公司民营公司150-500人,软件工程师互联网软件开发工程师,天河软件园建工路4号佳都新太大厦6楼
Python爬虫工程师,韩国瓷肌中国区公司,0.8-1.3万/月,员工旅游专业培训定期体检五险一金,广州-天河区|3-4年经验|大专|招2人|03-13发布,天河区珠江新城华夏路30号富力盈通大厦17楼韩国瓷肌中国区公司民营公司500-1000人,高级软件工程师,天河区珠江新城华夏路30号富力盈通大厦17楼
Python开发工程师,广州国交润万交通信息有限公司,0.8-1.2万/月,五险一金员工旅游年终奖金定期体检,广州|1年经验|本科|招若干人|03-13发布,任职要求：1、研究数据挖掘或统计学习领域的前沿技术，并用于实际问题的解决和优化；2、前沿数据挖掘和机器学习算法研究及实现，为各种数据挖掘和机器学习应用研发核心技术；3、参与个性化推荐系统的设计、建模和持续改进。4、参与项目需求分析，业务逻辑流程与设计，文档编写；5、能独立解决实际开发过程碰到的各类问题;6、具有良好的职业素养和职业道德，为人正直诚信、踏实勤勉;岗位要求：1、熟悉Python或Java，有用python或Java进行项目开发的一年以上的经验;2、有AI方向的工作经验;3、熟悉Linux系统以及相关的操作;4、有一年以上的Python或Java项目管理经验优先;5、抗压能力强，工作踏实勤恳，有较强的团队合作精神天河区棠下涌东路400号中科商业大厦401室广州国交润万交通信息有限公司民营公司50-150人,软件工程师,天河区棠下涌东路400号中科商业大厦401室
Python开发工程师,广州市浙泰机电设备贸易有限公司,20-40万/年,,广州-番禺区|5-7年经验|本科|招若干人|03-13发布,1、开发云存储应用程序、管理系统2、开发Python服务端程序3、维护现有软件4、代码Review，检查同组其他成员的代码1、精通Python语言，5年以上Python开发相关工作经验。2、熟悉Java，有Java相关项目经验者优先。3、熟悉linux操作系统、shell脚本编程。4、了解OpenStack、Hadoop者优先。5、有存储系统、文件系统开发相关经验者优先。6、有多线程、高并发服务器开发经验者优先。7、良好代码规范、适当的注释。8、态度良好，有owner精神。番禺区市桥街兴泰路296号番禺基盛万科里西塔BIGO广州市浙泰机电设备贸易有限公司民营公司150-500人,高级软件工程师软件工程师,番禺区市桥街兴泰路296号番禺基盛万科里 西塔BIGO
Python Web开发工程师,东莞市邦邻信息科技有限公司,1-1.5万/月,带薪年假五险一金绩效奖金全勤奖节日福利专业培训交通补贴,东莞|2年经验|本科|招1人|03-13发布,工作职责:1、根据产品需求设计完成服务器架构和模块设计、编码、测试以及文档编写工作2、参与公司业务系统及网站平台的研发3、按照要求完成上级安排的其他工作任职资格:1.熟悉Python编程语言及flask、django等Pythonweb开发框架，最好具有2年以上Python开发经验2.熟悉SQL及熟练使用MySQL，熟悉数据库优化3.熟练使用Linux操作系统，具有一定的Shell编程能力4.有较强的编程能力及规范的编程风格5.乐于学习和分享，又良好的团队合作和沟通能力，拥抱新技术6、大专以上学历，计算机相关专业毕业，2年以上工作经验7、熟悉div+css、html5、js、jquery、ajax等前端技术8、有一定的沟通能力，有强烈的责任心和团队精神，能服从管理，为人踏实、勤奋，有团队意识，执行力强，能够承担较大的工作压力莞城区运河东一路经贸中心184号B座11楼（整层）东莞市邦邻信息科技有限公司民营公司50-150人,Web前端开发Python,莞城区运河东一路经贸中心184号B座11楼（整层）
Python工程师,静瞳海外投资顾问（深圳）有限公司,1-2万/月,五险一金,广州|3-4年经验|本科|招2人|03-13发布,"1.负责人工智能产品技术及预测模型开发；2.通过机器学习，能有效辅助量化策略开发；3.设计及运用先进技术于产品开发。任职资格：1.本科及以上学历，计算机相关专业毕业，本科3年以上工作经验，硕士1年以上工作经验；2.具有扎实的编程及设计功底，精通Python开发编程；3.具有丰富的网络或移动后台搭建与编程经验；熟悉业界内常用的开源工具,如vnpy，spyder，pycharm等，并在不同项目中有实际使用经验；具备良好的分析解决问题能力，能独立承担任务和有项目进度把控能力。高德置地冬广场H座1904-05静瞳海外投资顾问（深圳）有限公司外资（非欧美）50-150人",高级软件工程师计算机辅助设计工程师,高德置地冬广场H座1904-05
Python开发工程师,清华珠三角研究院,1-1.5万/月,做五休二带薪年假五险一金高温补贴餐饮补贴,广州-黄埔区|2年经验|本科|招3人|03-13发布,"岗位职责：1、参与需求分析，产品设计，功能开发；2、负责系统平台的日常维护；3、与团队技术交流，共同进步4、承担Web后端的技术工作，开发和维护网站，主要编程语言是Python。岗位要求：1、有扎实的编程功底，一年以上Python开发经验；2、熟悉MVC架构，精通Django或者其他PythonWeb开发框架者优先；3、具备数据库设计能力，精通掌握MySQL者优先；4、熟悉Linux操作系统，熟悉使用Git,GitLab等工具；5、有大型网络服务开发经验者优先；6、具备良好的编码习惯及开发文档书写习惯；7、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力；8、有一定的Web前端技能，了解或熟悉HTML、CSS、JavaScript。开源大道11号B10栋清华珠三角研究院事业单位50-150人",高级软件工程师,开源大道11号B10栋
