职位,公司,薪资,公司福利,招聘信息,职位信息,职能类别,公司地址
HTML5开发实习生,广州火羽信息科技有限公司,5-8千/月,,广州-天河区|无工作经验|大专|招10人|03-13发布,如应聘在校实习生，每周至少工作4天。福利待遇：1、公司发展空间大，弹性工作时间，项目奖金，年终奖；2、为转正员工购买七险一金；3、各种节日福利金，每月下午茶，每天水果，包两餐，定期体检，健身室；4、年度户外拓展，员工旅游，办公环境好。公司地址：广州市天河区棠下荷光三横路盛达电子创新园B栋3号406棠下荷光三横路盛达商务园B栋3号406室广州火羽信息科技有限公司民营公司50-150人,互联网软件开发工程师游戏程序客户端h5前端,棠下荷光三横路盛达商务园B栋3号406室
运维工程师,广州将军信息技术有限公司,0.8-1.2万/月,,广州-天河区|无工作经验|大专|招若干人|03-13发布|普通话熟练,职责描述：1、支持业务上线、架构设计部署，业务系统运维；2、负责大型故障处理，分析定位原因并解决，前瞻性考虑业务发展的趋势，做出相应规划；3、能够独自完成网络相关、服务器、数据库等日常的处理工作；4、分析系统瓶颈，容量评估，完成扩容、架构改造等工程；5、负责服务器以及应用的日常监控，完善监控指标，分析监控日志，以提供相关数据支撑；6、负责生产环境维护工具编写，提高运维效率和质量。任职要求：1、大专以上学历，深入了解Linux系统以及优化，具备Linux下编程经验，熟练使用grep、awk、sed等系统工具，擅长(shell/perl/python)脚本语言编程；2、了解主流开源监控系统（如Zabbix等），对监控体系建设有独特的见解与认知；3、熟悉DevOps相关理念，构建以Jenkins为中心的工具集，实践持续交付，缩短从代码提交到生产环境部署的时间周期；4、了解运维高容量、大流量、大并发Web系统的业务知识以及解决方案；有大、中型网站维护实战经验者优先；5、深入理解网站高可用性架构；6、熟悉Nginx、Tomcat、MongoDB、Redis、mysql等维护，熟悉zookeeper、rocketMQ、Kafka、hbase优先；7、良好的动手能力和语言表达能力，故障分析、问题总结及抽象概括能力，主动学习新的技术。广州市天河区黄埔大道西638号农信大厦1603房广州将军信息技术有限公司民营公司50-150人,网站维护工程师技术支持/维护工程师技术维护网站工程师移动数据应用系统需求软件,广州市天河区黄埔大道西638号农信大厦1603房
软件测试实习生,广东海聊科技有限公司,2-3千/月,,佛山-南海区|无工作经验|大专|招若干人|03-11发布,岗位职责：1.执行测试：对公司网站和手机APP进行发布前后的测试，按照测试用例执行，保证项目进度和质量。2.缺陷记录：准确、清楚的描述缺陷产生的步骤和缺陷产生后的现象3.缺陷沟通：与开发人员进行沟通，协助开发人员解决产品缺陷4.测试报告：按要求提交任务测试报告1、2019届毕业生，专科以上学历，计算机相关专业优先；2、掌握软件测试理论，掌握软件测试流程，掌握缺陷管理流程；3、至少了解一门开发语言，如JAVA、C++、PYTHON等4、熟悉Test工具和Jira、Jmeter、bugly工具，5、具有良好的文字表达能力，语言组织能力和沟通能力，有团队协助意识，热爱软件测试工作。6、实习期不少于三个月公司福利：周末双休，弹性上班时间，五险一金，每年一次体检，一年一次旅游，每季度员工生日会，节日福利，不定时团队活动，年终奖，年底双薪，不定时零食水果下午茶，工作环境好，团队优秀，工作氛围好，上升空间大。工作地址佛山-南海区-狮山-佛山市南海区广工大数控装备协同创新研究院B1三层佛山市南海区广工大数控装备协同创新研究院B1三层广东海聊科技有限公司民营公司少于50人,软件测试软件、测试,佛山市南海区广工大数控装备协同创新研究院B1三层
iOS实习工程师,广东优德科技有限公司,4-8千/月,,广州-海珠区|无工作经验|大专|招若干人|03-10发布,"扁平化管理,技术极客1.熟悉Objective-C、Swift，熟悉MacOSX系统、Xcdoe开发环境；2.熟悉iOSSDK、iOS下的多线程开发、网络通信、内存管理、GUI开发、产品发布流程，能够独立开发项目；3.熟悉常用软件架构模式，了解常用算法与数据结构，多线程，网络编程（Socekt、Http/Webservice）等；4.掌握C/C++/Java/Python/Go等其他编程语言的优先。1.我们是一个以技术为主的团队，技术氛围活泼；2.办公室处于广州中大门口，中大地铁出口2分钟即达，交通方便；3.上班时间人性化，不强制考勤；4.常备下午茶和各种零食，不定期团建活动。新港西路135号中大科技园A座1303广东优德科技有限公司民营公司少于50人",互联网软件开发工程师手机应用开发工程师iOSObjective-CSwiftSocektMacOS,新港西路135号中大科技园A座1303
软件工程师(职位编号：001),方博科技（深圳）有限公司,4.5-8千/月,,深圳|无工作经验|大专|招若干人|01-31发布,任职要求：1、本科或研究生学历，电力电子、电气传动、电气工程及自动控制或相似专业毕业；2、精通C/C++语言程序设计（熟悉Labview优先），熟练使用VC++编程；熟悉matlab，Python、perl脚本语言优先；熟悉基于Windows的软件编程；具有较强的代码设计及文档编写能力；3、掌握PID等工业控制算法实现方法；4、掌握如网口、串口等常用接口的软件编程，了解基于常用总线的软件开发设计；5、为人正直、诚实，积极上进，工作态度端正，具有良好的沟通协调能力，对研发设计等具有浓厚的兴趣，有独立展开项目能力。主要工作职责：1、根据研发项目要求与计划，制定软件实现方案；2、负责底层软件的需求分析，输出需求说明及设计方案；3、负责应用软件的需求分析，输出需求说明及设计方案；4、根据评审通过的实现方案进行应用软件和底层软件的开发、维护；5、根据实际开发情况编写该单元模块的技术文档；6、根据本单元模块技术规格文档，完成基本功能测试。7、其他临时性工作。深圳市宝安区福永街道凤凰社区凤业九路10号方博科技（深圳）有限公司民营公司50-150人,软件工程师自动控制工程师/技术员软件工程师应用软件C语言C++LabviewMatlabPython应届生,深圳市宝安区福永街道凤凰社区凤业九路10号
python研发工程师,广州非凡信息安全技术有限公司,3-5千/月,,广州-天河区|无工作经验|大专|招2人|03-02发布,工作职责：开发与优化公司安全产品（实习）职位要求：1、熟悉python开发、熟悉Mysql数据库操作2、熟悉Scrapy、flask等框架，有爬虫、数据处理、多线程处理等类似的python脚本经验3、熟悉json、xml等数据结构4、有探索精神，能读基本懂国外技术文章体育西路109号高盛大厦11楼E单元广州非凡信息安全技术有限公司民营公司少于50人,软件工程师python研发,体育西路109号高盛大厦11楼E单元
大数据实习生,广州智算信息技术有限公司,3-4千/月,,广州-天河区|无工作经验|大专|招3人|03-13发布,1、负责公司大数据平台的部署、管理、优化、监控报警，保障平台服务7*24稳定可靠高效运行；2、深入理解公司大数据平台架构，发现并解决性能瓶颈，支撑业务和数据量的快速增长；3、开发大数据自动化运维、监控报警、故障处理相关脚本和工具；任职要求：1、大专以上学历，计算机及通信相关专业19年应届毕业生；2、具备一定的故障排查能力，有良好的技术敏感度和风险识别能力，熟悉一门以上脚本语言(shell/python等)，熟悉Http/Https、TCP/IP、SMTP等协议高德置地冬广场22楼广州智算信息技术有限公司民营公司50-150人,软件工程师,高德置地冬广场22楼
前端开发工程师(职位编号：T2018002),广州医昊网络科技有限公司,2-3千/月,,广州-越秀区|无工作经验|大专|招1人|02-16发布|英语一般|计算机应用计算机科学与技术,1.计算机相关专业，具备web前端开发经验，有HTML5/CSS3方面的具体实践经验2.熟练掌握各种web前端技术（H5/Css3/Javascript/Ajax等），熟悉服务端技术（PHP/Python/nodejs等）者优先3.思路清晰，代码规范，具有团队协作能力，善于学习总结，乐于分享沟通，能承受一定的工作压力4.热爱互联网以及新技术具有快速学习能力广州市越秀区建设六马路宜安广场714广州医昊网络科技有限公司创业公司少于50人,Web前端开发软件工程师,广州市越秀区建设六马路宜安广场714
Cocos2d-x开发实习生,广州火羽信息科技有限公司,5-8千/月,,广州-天河区|无工作经验|大专|招10人|03-13发布,:：福利待遇：1、公司发展空间大，弹性工作时间，项目奖金，年终奖；2、转正员工购买七险一金；3、各种节日福利金，每月下午茶，每天水果，包两餐，定期体检，健身室；4、年度户外拓展，员工旅游，办公环境好。棠下荷光三横路盛达商务园B栋3号406室广州火羽信息科技有限公司民营公司50-150人,多媒体/游戏开发工程师互联网软件开发工程师游戏研发编程,棠下荷光三横路盛达商务园B栋3号406室
PHP实习工程师,广东优德科技有限公司,3-6千/月,绩效奖金年终奖金股票期权弹性工作,广州-海珠区|无工作经验|大专|招若干人|03-10发布,1.熟悉HTML、CSS、JavaScript、jquery等WEB相关技术，熟悉Git，SVN等版本管理控制；2.熟练ThinkPHP框架，有电商/O2O相关项目开发经验优先;3.熟悉MySQL，能独立设计数据库，了解基本的数据库优化；4.了解Linux系统，有基本的命令行操作经验，熟悉LAMP或LNMP的环境搭建和配置、优化;5.学习能力强，对技术有钻研精神，具有良好的自学能力和独立解决问题的能力；6.熟悉C/C++/Java/Python/Go等其他编程语言的优先；1.我们是一个以技术为主的团队，技术氛围活泼；2.团队大部分都是90后，轻松好玩；3.办公室处于广州中大门口，中大地铁出口2分钟即达，交通方便；4.上班时间人性化，不强制考勤；5.常备下午茶和各种零食，不定期团建活动；新港西路135号中大科技园A座1303广东优德科技有限公司民营公司少于50人,软件工程师phpphp工程师php开发,新港西路135号中大科技园A座1303
PHP实习工程师,广东优德科技有限公司,3-6千/月,绩效奖金年终奖金股票期权弹性工作,广州-海珠区|无工作经验|大专|招若干人|03-06发布,1.熟悉HTML、CSS、JavaScript、jquery等WEB相关技术，熟悉Git，SVN等版本管理控制；2.熟练ThinkPHP框架，有电商/O2O相关项目开发经验优先;3.熟悉MySQL，能独立设计数据库，了解基本的数据库优化；4.熟悉Linux系统，有基本的命令行操作经验，熟悉LAMP或LNMP的环境搭建和配置、优化;5.学习能力强，对技术有钻研精神，具有良好的自学能力和独立解决问题的能力；6.熟悉C/C++/Java/Python/Go等其他编程语言的优先；1.我们是一个以技术为主的团队，技术氛围活泼；2.团队大部分都是90后，轻松好玩；3.办公室处于广州中大门口，中大地铁出口2分钟即达，交通方便；4.上班时间人性化，不强制考勤；5.常备下午茶和各种零食，不定期团建活动；新港西路135号中大科技园A座1303广东优德科技有限公司民营公司少于50人,软件工程师php,新港西路135号中大科技园A座1303
Python实习工程师,广东优德科技有限公司,3-5千/月,,广州-海珠区|无工作经验|大专|招若干人|03-06发布,1、负责内部系统、自动化系统、服务端、商城等系统的开发和维护；2、熟悉Python编程，了解Flask/Django/Tornado等后台框架；3、熟悉运用Linux操作系统，了解HTTP、TCP/IP、网络编程，了解进程、线程等概念，能独立解决简单常见的问题；4、有整站开发经验者优先；5、掌握C/C++/PHP/Go等其他编程语言的优先；?1.我们是一个以技术为主的团队，技术氛围活泼；2.团队大部分都是90后，轻松好玩；3.办公室处于广州珠江新城地铁口，交通方便；4.上班时间人性化，不强制考勤；5.常备下午茶和各种零食，不定期团建活动；新港西路135号中大科技园A座1303广东优德科技有限公司民营公司少于50人,软件工程师互联网软件开发工程师pythonFlaskDjangoTornadolinux数据库服务器,新港西路135号中大科技园A座1303
Python实习工程师,广东优德科技有限公司,3-5千/月,,广州-海珠区|无工作经验|大专|招若干人|03-06发布,1、负责搭建以及维护爬虫系统，负责数据的抓取、解析、清洗、入库、更新等；2、熟悉Python编程，了解flask/Django等后台框架；3、熟悉运用Linux操作系统，了解HTTP、TCP/IP、网络编程，了解进程、线程等概念；4、有爬虫经验优先，熟悉scrapy、pyspider等者优先；5、掌握C/C++/Java/Go等其他编程语言的优先；1.我们是一个以技术为主的团队，技术氛围活泼；2.团队大部分都是90后，轻松好玩；3.办公室处于广州中大门口，中大地铁出口2分钟即达，交通方便；4.上班时间人性化，不强制考勤；5.常备下午茶和各种零食，不定期团建活动；新港西路135号中大科技园A座1303广东优德科技有限公司民营公司少于50人,软件工程师pythonlinuxscrapypyspider爬虫,新港西路135号中大科技园A座1303
