职位,公司,薪资,公司福利,招聘信息,职位信息,职能类别,公司地址
传输项目经理（无线，驻地网，通信工程）,广州昊翰通信科技有限公司,6-8千/月,周末双休带薪年假五险一金绩效奖金全勤奖节日福利交通补贴加班补贴高温补贴,中山|无工作经验|大专|招2人|03-13发布,"1、全面负责项目施工管理工作；2、在授权范围内负责与公司管理层、作业层、建设单位和监理单位、设计单位等协调、沟通，解决项目中出现的问题；3、调配并管理进入工程项目的人力、资金、物资、机械设备等生产要素。对工程项目施工进行有效控制，执行有关技术规范和标准，确保工程质量和工期，实现安全生产；4、组织编制竣工资料、工程结算、参加工程验收和工程交接工作，组织工程保修和工程服务工作；5、负责工程项目分服务方的选择与分包协议内容的谈判工作。任职要求：1、全日制专科以上学历，计算机、自动化及通信类专业；2、5年以上项目施工经验；至少3年项目管理工作经历；3、熟悉通信运营商（电信、移动、联通）管道、光缆，线路施工项目管理流程或有驻地网经验，具有较强的实际操作能力；4、较强的沟通能力、协作能力；5、有项目经理证,建造师证或安全员证优先考虑。中山东区小熬溪村二巷21号广州昊翰通信科技有限公司民营公司50-150人",无线通信工程师移动通信工程师无线驻地网,中山东区小熬溪村二巷21号
通信技术员,广东和新科技有限公司,2-3千/月,,广东省|无工作经验|大专|招2人|03-12发布,岗位要求：1、全日制大专及以上学历，通信、计算机、电子相关专业；2、吃苦耐劳、责任心强，勇于挑战，有良好的团队合作意识；1.带薪实习，包住宿，话费补贴和餐费补贴；2.丰富的学习机会，优秀应届生将被纳入定向培养计划，助力成长；3.职业晋升：实习生→助理工程师→工程师→项目主管→项目经理→事业部总经理4.首先在各事业部实习锻炼，毕业后考核评估，正式定岗定薪。工作2年后，在业务范围有机会申请调往生源地或其他事业部发展。广东省惠州市惠城区江北三新南路星湖苑58栋广东和新科技有限公司民营公司1000-5000人,通信技术工程师其他,广东省惠州市惠城区江北三新南路星湖苑58栋
通信传输设计师,国脉通信规划设计有限公司广州分公司,2-3千/月,,江门|无工作经验|大专|招10人|03-12发布,主要从事通信运营商和其他客户委托的传输设备、传输线路、接入网等组网咨询、规划、勘察与设计工作。1、通信工程、光通信或相关专业中专及以上学历；2、具有扎实的通信工程专业知识，熟悉光通信原理和传输相关理论基础知识，对SDH/MSTP、WDM、PTN、OTN、PON、接入网、驻地网、管线等传输专业技术有一定了解。3、熟练运用CAD?Visio等软件；4、勤奋好学，服从上级领导的工作安排，工作认真负责；5、有良好的身体素质，适应出差。蓬江区东华大厦国脉通信规划设计有限公司广州分公司民营公司1000-5000人,有线传输工程师通信,蓬江区东华大厦
通信工程师助理,深圳市天和通信有限公司惠州分公司,4-6万/年,五险一金年终奖金员工旅游交通补贴通讯补贴专业培训,广东省|无工作经验|大专|招30人|03-08发布,各城市深圳市天和通信有限公司惠州分公司民营公司150-500人,通信技术工程师移动通信工程师,各城市
移动通信工程师,南京华苏科技有限公司广州分公司,2-3千/月,,惠州|无工作经验|大专|招若干人|03-07发布,惠城区富民路全球通大厦南京华苏科技有限公司广州分公司民营公司500-1000人,通信技术工程师,惠城区富民路全球通大厦
通信工程师（不加班双休福利好）,广州市林洲通讯技术服务有限公司,3-4.5千/月,五险一金补充医疗保险年终奖金带薪年假过节费出差补贴,广州-越秀区|无工作经验|大专|招2人|02-21发布|计算机网络计算机科学与技术,1、电话、网络系统的安装、调试、维护、故障处理、软硬件升级和技术支持，以及公司安排的其他任务。2、具有电话沟通能力，对客户的服务进行及时的跟踪了解、反馈客户的需求，并及时作好客户跟踪记录，善于发现客户和市场的潜在需求。任职要求：1、通信工程、信息工程、计算机网络等相关专业毕业，接受应届生。2、熟悉通信组网、熟悉程控交换原理，对交换机安装开通、调测工作有一定认识，并能够承担对交换机进行日常的维护工作。3、熟悉网络原理（如：OSI网络模型，TCP/IP协议等）及各种路由协议，网络交换、路由等相关网络知识；具备良好的网络技术知识，熟悉TCP/IP协议，熟悉主流网络产品（如：思科、华为、华三交换机和路由器）。4、积极勤奋，工作踏实，吃苦耐劳，有主动性，有认真负责的工作态度；具有团队合作精神；沟通能力强，能配合销售人员解决客户的需求。5、能接受出省工作任务，经培训后能独立完成任务。6、精通Windows操作系统，熟悉Linux，有程控交换机（IPPBX）、局域网建设维护实际工作经验者优先考虑。7、有经验优先，无经验有内部培训，有实力者，学历可降低。福利待遇：1.工作时间：周一至周五上午9点到下午5点半（出差除外），周末双休；2.享受五险社保，国家法定节假日休，加班补休，出差补贴、带薪年假等、享有年终奖等；3.舒适的办公环境及工作氛围，不定期组织员工聚餐、旅游、户外拓展等活动。4.晋升：公司采用内部竞聘的方式，提供良好的晋升空间和发展平台!工作地址：广州市越秀区德政南路50号5楼D房交通路线：临近团一大广场地铁站，距离地铁站100米，多条公交线路抵达，交通便利；德政南路50号5楼D房广州市林洲通讯技术服务有限公司民营公司少于50人,通信技术工程师其他通信工程硬件铁塔设计传输室分其他售后工程师,德政南路50号5楼D房
机械工程师（应届生）,广东博纬通信科技有限公司,4-6千/月,,广州-黄埔区|无工作经验|大专|招8人|03-13发布|机械设计制造及其自动化,云埔一路29号广东博纬通信科技有限公司民营公司150-500人,机械工程师结构工程师,云埔一路29号
客服管培生（3000底薪+专业培训+带薪年假）,深圳市皇宝通信服务有限公司,4.5-7千/月,带薪年假绩效奖金全勤奖节日福利专业培训年终奖金业绩分红出国旅游医疗保险,广州-越秀区|无工作经验|大专|招20人|03-13发布|粤语熟练,"岗位职责：1、公司统一带薪培训（学习公司制度、溝通技巧等）；2、公司提供优质客戶资源，拨打和接听客户电话;3、定期与合作客户进行一对一沟通,建立良好的长期合作关系。职位要求:男女不限，18-30周岁，粵語标准流利；反应敏捷，表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；福利待遇：无责底薪+保底补贴+高额提成=高收入（年薪百万不是梦）。你的顾虑：1、没有接触过这个行业，担心做不好？公司90%新进员工都是没有经验的，公司有专业的产品知识和销售技巧方面的培训，我们更希望其他行业人员加入我们。不需自己开发客户，不用出去跑业务，公司会提供有意向的客户，比较容易出单。只要用心做，肯定没问题的！2、压力大，赚不到钱怎么办？我们提供优质的客户资源，有培训老师和现场主管会带领你的每一步，无责任底薪为你提供基本的生活保障，目前平均工资6000~7000元左右，出来就是赚钱的：宁愿年轻辛苦一阵子，也不愿到老辛苦一辈子！今天的努力是为成就明天的辉煌.工作时间：9:15-18:15,長短周月休6天带薪年假及完美的法定假期：（复活节、佛诞、香港回归、重阳节、圣诞节、婚假、产假、丧假等）（实习生要求实习满半年以上）西湖路18号广百新翼商务中心2302-07深圳市皇宝通信服务有限公司民营公司150-500人",咨询热线/呼叫中心服务人员客户代表渠道销售业务员网络销售渠道经理实习生渠道专员快消渠道销售直销销售,西湖路18号广百新翼商务中心2302-07
增值业务部门实习生,广州交通信息化建设投资营运有限公司,1.5-2千/月,周末双休,广州-天河区|无工作经验|大专|招2人|03-13发布|软件工程,广州市体育东路108号创展中心西座14楼1402室广州交通信息化建设投资营运有限公司国企150-500人,实习生交通补助,广州市体育东路108号创展中心西座14楼1402室
结构工程师,广州市紫晶通信科技有限公司,3-5千/月,,广州|无工作经验|大专|招若干人|03-13发布,任职要求：1、具备机械传动、自动化控制方面的知识基础；2、熟练操作Pro/E、AutoCAD、CorelDraw等绘图软件；3、熟悉产品开发流程，具有完整项目开发经验；4、能进行产品外观及结构设计，具有面向装配及生产的设计理念；5、从事五金家具或五金展柜厂工作经验1年以上，优秀应届毕业生也可以考虑。岗位职责：1、负责公司新产品结构设计开发工作，在线产品的维护及量产品改进；2、负责新产品及包装物料的打样出图及样品确认；3、向相关部门提供结构、五金件及包装方面的技术支持；4、产品专利申请工作的技术支持工作；5、其他产品的开发相关的工作事项；6、完成上级领导交代的其他工作任务。广州广州市紫晶通信科技有限公司民营公司150-500人,结构工程师结构工程师,广州
