名字,评分,多少个明星,年份,时长,国家,导演,主演
惊奇队长,7.2,35,2019,124分钟,美国,安娜·波顿 瑞安·弗雷克,布丽·拉尔森 / 裘德·洛 / 塞缪尔·杰克逊
绿皮书,8.9,45,2018,130分钟,美国,彼得·法雷里,维果·莫腾森 / 马赫沙拉·阿里 / 琳达·卡德里尼
驯龙高手3,7.6,40,2019,104分钟,美国,迪恩·德布洛斯,杰伊·巴鲁切尔 / 亚美莉卡·费雷拉 / F·默里·亚伯拉罕
夏目友人帐,8.3,45,2018,104分钟,日本,大森贵弘 伊藤秀树,神谷浩史 / 井上和彦 / 高良健吾
阿丽塔：战斗天使,7.6,40,2019,122分钟,美国 加拿大 阿根廷,罗伯特·罗德里格兹,罗莎·萨拉查 / 克里斯托弗·沃尔兹 / 基恩·约翰逊
流浪地球,7.9,40,2019,125分钟,中国大陆,郭帆,屈楚萧 / 吴京 / 李光洁
飞驰人生,7.0,35,2019,98分钟,中国大陆,韩寒,沈腾 / 黄景瑜 / 尹正
魔神Z,6.3,35,2018,94分钟(中国大陆),日本,志水淳儿,森久保祥太郎 / 茅野爱衣 / 上坂堇
醒来之爱的呼唤,0,00,2019,106分钟,中国大陆,王陆涛,李梦男 / 张琛 / 傅冲
熊出没·原始时代,6.5,35,2019,88分钟,中国大陆,丁亮 林汇达,张伟 / 张秉君 / 谭笑
血战敖伦布拉格,0,00,2019,85分钟,中国大陆,孙鑫,谢苗 / 孙鑫 / 赵靖舒玉
过春天,8.0,40,2018,99分钟,中国大陆,白雪,黄尧 / 孙阳 / 汤加文
梦想之城,0,00,2018,99分钟,中国大陆,刘抒鹃 吴立晓,保剑锋 / 金巧巧 / 温兆伦
新喜剧之王,5.8,30,2019,91分钟,中国大陆 香港,周星驰,王宝强 / 鄂靖文 / 张全蛋
古井凶灵,0,00,2019,88分钟,中国大陆,王辰六,程韦然 / 陈美林 / 李易芸
朝花夕誓,6.9,35,2018,115分钟,日本,冈田麿里 筱原俊哉,石见舞菜香 / 入野自由 / 茅野爱衣
我们的爱情,0,00,2019,89分钟,中国大陆,汪小白,戴韩安妮 / 刘冠男 / 马卉
廉政风云,5.5,30,2019,114分钟,香港 中国大陆,麦兆辉,刘青云 / 张家辉 / 林嘉欣
疯狂的外星人,6.4,35,2019,116分钟,中国大陆,宁浩,黄渤 / 沈腾 / 汤姆·派福瑞
白蛇：缘起,8.0,40,2019,99分钟,中国大陆 美国,黄家康 赵霁,张喆 / 杨天翔 / 唐小喜
未来的你,0,00,2019,90分钟,中国大陆,曾张粤紫,许之糯 / 周思竹  / 王尉
江海渔童之巨龟奇缘,0,00,2019,80分钟,中国大陆,张立衍,杨光普照 / 张磊 / 郭政建
一吻定情,5.3,30,2019,122分钟,中国大陆,陈玉珊,王大陆 / 林允 / 陈柏融
五十米之恋,0,00,2019,92分钟,中国大陆,李依理,谢楠 / 方力申 / 仇佩佩
